NMT,anio,mes,dia,tipo,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
8,2022,1,3,N,59.1,67.1,62.1,55.5,48.2,45.8
8,2022,1,3,T,63.1,69.9,64.9,59.8,54.7,52
10,2022,1,3,D,64.7,72.6,67.9,61.2,56,53.2
10,2022,1,3,E,62.7,71.7,66.3,59.7,54.2,50.8
10,2022,1,3,N,57.7,68.5,59.7,50.3,46.5,45.3
10,2022,1,3,T,63,71.8,66.5,58.6,48,46
11,2022,1,3,D,68.2,74.3,70.5,66.2,60.5,56.9
11,2022,1,3,E,66.8,72.7,69,65.1,59.7,55.4
11,2022,1,3,N,59.5,68.5,62.1,52.3,45.9,43.1
11,2022,1,3,T,66.5,72.1,67.4,61.4,55.5,52
12,2022,1,3,D,64.3,74.8,65.8,61.9,58.2,55.1
12,2022,1,3,E,63.1,71.4,64.2,60.9,57.2,54
12,2022,1,3,N,56.6,64,59.2,53.3,47.5,44.3
12,2022,1,3,T,62.6,72.4,64.6,60,50.6,45.8
13,2022,1,3,D,60.3,69.6,62.1,57.6,52.3,48.2
13,2022,1,3,E,55.3,63.4,58.6,52.9,47,44.3
13,2022,1,3,N,50.3,61.3,53.4,43.5,39.4,38
13,2022,1,3,T,57.9,66.6,60.7,54.2,41.5,38.4
14,2022,1,3,D,62.3,68.1,64.2,61.3,58.6,56.3
14,2022,1,3,E,62.6,68.4,64,61.3,58.2,55.5
14,2022,1,3,N,58,66.5,61.7,54.5,47.6,44.3
14,2022,1,3,T,61.3,67.5,63.7,60.3,51.4,45.5
16,2022,1,3,D,63.2,77.5,60.9,55.4,49.7,45.3
16,2022,1,3,E,56.3,63.9,58.4,53.2,46.2,42.4
16,2022,1,3,N,50.9,61.1,54.4,42.6,37.3,36.1
16,2022,1,3,T,60.6,72,59,52.7,39.3,36.4
17,2022,1,3,D,58.1,64.1,58.1,53.2,48.8,45.1
17,2022,1,3,E,54.5,60.9,56.4,51.4,46.1,43.5
17,2022,1,3,N,49.4,59.3,52.7,44.8,40.6,39
17,2022,1,3,T,56,62.6,57,51.1,42.6,39.5
18,2022,1,3,D,55,65.7,57.2,50.7,46.5,44
18,2022,1,3,E,55.1,67.5,56,48.7,44.1,42.3
